iter	Passed	Remaining
852	10934	1884
853	10944	1871
854	10955	1857
855	10965	1844
856	10978	1831
857	10989	1818
858	11002	1805
859	11015	1793
860	11028	1780
861	11041	1767
862	11053	1754
863	11067	1742
864	11080	1729
865	11093	1716
866	11105	1703
867	11119	1690
868	11131	1678
869	11143	1665
870	11156	1652
871	11169	1639
872	11181	1626
873	11195	1613
874	11208	1601
875	11222	1588
876	11235	1575
877	11248	1562
878	11261	1550
879	11273	1537
880	11288	1524
881	11299	1511
882	11309	1498
883	11319	1485
884	11330	1472
885	11341	1459
886	11352	1446
887	11363	1433
888	11374	1420
889	11386	1407
890	11399	1394
891	11412	1381
892	11426	1369
893	11439	1356
894	11452	1343
895	11464	1330
896	11476	1317
897	11490	1305
898	11503	1292
899	11516	1279
900	11528	1266
901	11541	1253
902	11554	1241
903	11565	1228
904	11576	1215
905	11587	1202
906	11598	1189
907	11609	1176
908	11620	1163
909	11630	1150
910	11640	1137
911	11651	1124
912	11661	1111
913	11672	1098
914	11683	1085
915	11693	1072
916	11703	1059
917	11715	1046
918	11727	1033
919	11741	1021
920	11757	1008
921	11772	995
922	11785	983
923	11800	970
924	11815	958
925	11826	945
926	11840	932
927	11852	919
928	11865	906
929	11877	894
930	11890	881
931	11903	868
932	11914	855
933	11924	842
934	11935	829
935	11947	816
936	11957	803
937	11968	791
938	11979	778
939	11989	765
940	12001	752
941	12011	739
942	12022	726
943	12033	713
944	12043	700
945	12055	688
946	12066	675
947	12080	662
948	12092	649
949	12108	637
950	12129	624
951	12146	612
952	12163	599
953	12179	587
954	12195	574
955	12214	562
956	12233	549
957	12246	536
958	12259	524
959	12271	511
960	12282	498
961	12293	485
962	12304	472
963	12314	459
964	12326	447
965	12337	434
966	12348	421
967	12358	408
968	12369	395
969	12380	382
970	12391	370
971	12403	357
972	12414	344
973	12428	331
974	12441	319
975	12458	306
976	12475	293
977	12494	281
978	12511	268
979	12528	255
980	12544	242
981	12560	230
982	12576	217
983	12589	204
984	12602	191
985	12614	179
986	12626	166
987	12637	153
988	12647	140
989	12656	127
990	12666	115
991	12679	102
992	12691	89
993	12704	76
994	12716	63
995	12729	51
996	12742	38
997	12756	25
998	12769	12
999	12781	0
